"text","spam"
"Asiltane Zeytinyağı Yıldızlı değil Natürel Sızma ZeytinyağıAsiltane'nin özel soğuk sıkım natürel zeytinyağı şimdi EvdeKal koduyla 20% indirimli.",1
"Piyasaya yeni sunulan RTX özellikli Minecraft Windows 10 Beta, tüm dünyadaki Minecraft oyuncularına nefes kesen gerçek zamanlı ray tracing özelliği, gerçekçi malzemeler ve NVIDIA DLSS 2.0’ı sağlıyor. NVIDIA GeForce RTX GPU’larla hayata geçirilen gerçekçi gölgeleri, aydınlatmayı, canlı renkleri, doğal bir şekilde etrafını yansıtan suları ve parlak dokuları deneyimleyin.Bugün beta sürüme katılarak, ray tracing özelliğinin Minecraft’a kattığı büyük fark yaratan olanakları sergileyen altı yeni Minecraft dünyasını keşfedin. RTX özellikli Minecraft Windows 10 Beta ile oluşturacaklarınızı görmek için sabırsızlanıyoruz.",1
"Adsoyad.COM.TR Domain Şimdi Sadece 3,99$ | Belgesiz Kayıt - %50 İndirim Hakan, adsoyad.com.tr alan adınızı %50 İNDİRİMLİ ve BELGESİZ kayıt edin! Bu gönderiyi düzgün görüntüleyemiyorsanız lütfen TIKLAYIN",1
"#Birlikten Kuvvet Doğar diyerek ülkemizin can damarı KOBİ’lerimiz için toplam 80 milyon TL değerinde “Trendyol KOBİ Destek” paketini başlatıyoruz. Ülke olarak içinden geçtiğimiz bu zor dönemde, sizlerin evlerinde sağlıkla kalması için KOBİ’lerimizle beraber tüm gücümüzle çalışmaya devam ediyoruz. Ülke ekonomisine katkısı büyük, bizi biz yapan KOBİ’lerimize yürekten teşekkür ediyor, bu zor günleri hep birlikte aşacağımıza inanıyoruz. KOBİ'LERİMİZİN ÜRÜNLERİ İÇİN Saygılarımızla Trendyol",1
"ÖDÜLLÜ GEFORCE DİZÜSTÜ BİLGİSAYARLARA YÜKSELTİN NVIDIA GeForce, oyunculara ve içerik üreticilerine yönelik dünyanın en hızlı dizüstü bilgisayarlarına güç kazandırıyor. Ortalama bir dizüstü bilgisayarın 10 katına kadar performans sunan güçlü ve ince tasarımlara yükseltin.",1
"Değerli Müşterimiz, Piyasalardaki güncel durumu sizin için özetledik. Koronavirüs kaynaklı endişelerin sarstığı ekonomik görünümü iyileştirmek için küresel bazda parasal ve mali teşvik adımları atılmaya devam ediyor. Son olarak ABD'de bireylere ve şirketlere destek sağlayacak 2 trilyon Dolar büyüklüğünde bir paket açıklandı. Merkez bankalarının parasal genişleme ile piyasalara müdahalesi de sürüyor. Bu müdahalelerin sonucunda global piyasalardaki riskli varlıklarda toparlanma sinyalleri görülmeye başlandı. Başta ABD olmak üzere özellikle gelişmiş ülke hisse senedi endeksleri sert yükselişler kaydederken, ABD endekslerindeki yükseliş %20'yi aştı. Ancak virüsün Avrupa ve ABD'de yayılımının henüz hız kesmemiş olması ekonomi ve piyasalara ilişkin ileriye dönük tahmin yapmayı zorlaştırıyor. Virüsü kontrol altına almak için alınan tedbirlerin ekonomik aktivitede yarattığı tahribat nedeniyle tüketici talebinde sert düşüşler gözleniyor. Bu nedenle uluslararası piyasalarda işlem gören başta petrol olmak üzere emtia* fiyatlarındaki baskı devam ediyor. Global ekonomik aktivite ve emtia fiyatlarındaki zayıflık nedeniyle Gelişmekte Olan Ülkeler'den (GOÜ) para çıkışları devam ediyor. Son olarak Güney Afrika'nın kredi notunun düşürülmesi ile birlikte GOÜ para birimleri değer kaybederken risk primlerinde geçici toparlanmanın ardından yeniden bozulma yaşanıyor. Koronavirüs vakalarının hızlı şekilde artmaya devam etmesi ve benzer ülke varlık fiyatlarındaki bozulma nedeniyle Türk varlıklarında toparlanmanın henüz gerçekleşmediği görülüyor. Ancak, virüsün yayılımını engellemek için son dönemde alınan sıkı tedbirlerin önümüzdeki dönemde vaka sayısındaki artış ivmesini yavaşlatacağı öngörülmektedir. Avrupa, ABD ve Türkiye'de virüsün tepe noktası görülene kadar piyasalardaki endişe devam edecektir. Bu nedenle alınan sıkı önlemlerin virüsün yayılımı üzerindeki sonuçlarını izlemeye devam ediyoruz. *Emtia: Ekonomide ticarete konu olan malların tümü. Piyasaları yakından takip etmeye devam ediyoruz, yeni fırsatlar oluştuğunda size haber vereceğiz.",1
"Evde zaman geçirirken ihtiyacınız olan birçok şey için yardımcılarınız Samsung’dan. Çocuğunuzun uzaktan eğitimine destek olacak televizyon ve tabletlerden, alışverişlerinizi sığdırmanız için geniş hacimli buzdolaplarına. İster evde zaman geçirirken sağlığınızı ve spor aktivitelerinizi takip edecek akıllı saatler, isterseniz de gün içinde elinizden düşürmeyeceğiniz Galaxy’ler... Samsung ile evde beraberiz!",1
"Sayın HAKAN KÖSEOKUR, Private Banking Günlük Bülteni ile günlük piyasa yorumları ve haftalık verilere ulaşabilir, finansal piyasalar hakkında detaylı bilgi sahibi olabilirsiniz. Tüm bankacılık işlemlerinizi evinizden çıkmadan Yapı Kredi Mobil'den, Yapı Kredi İnternet Şubesi'nden ve Müşteri İletişim Merkezimizi arayarak gerçekleştirebileceğinizi hatırlatmak isteriz. Size özel hazırladığımız bültenimize ulaşmak için tıklayınız.",1
"DİKKAT | Tarayıcılar Web Sitenizi 'GÜVENSİZ' Olarak İşaretleyebilir! Hakan, Web Siteniz GÜVENSİZ Olarak İşaretlenebilir! SSL Sertifikası ile Web Sitenizi Güven Altına Alın. Bu gönderiyi düzgün görüntüleyemiyorsanız lütfen TIKLAYIN",1
"#EvdeKal Habersiz Kalma Bi Tıkla Gazeten Kapında! Demirören Medya bünyesinde yer alan, Türkiye’nin en sevilen gazeteleri Hürriyet, Milliyet, Posta ve Fanatik artık bir tıkla kapınıza kadar geliyor. Covid-19 salgını nedeniyle gerçekleştirilen ‘’Evde Kal’’ hareketi kapsamında, yakala.co ve Scotty ile yapılan bu iş birliği ile günlük gazetelere erişmek artık çok kolay. Gazete okuma alışkanlığınızı rahatlıkla sürdürebilmeniz için geliştirilen bu projeyle, günlük gazeteleriniz motorlu kuryeler ile kapınıza kadar getirilecek Bu hizmet İstanbul ili ile sınırlıdır",1
